Agency Name,State Name [District] Latest available year,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,State Agency ID [District] 2016-17
HANOVER PARK REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Hanover Park Regional High School District,3406660,NJ-271990
HANOVER TOWNSHIP SCHOOL DISTRICT,New Jersey,Hanover Township School District,3406690,NJ-272000
HARDING TOWNSHIP SCHOOL DISTRICT,New Jersey,Harding Township School District,3406720,NJ-272010
HARDYSTON TOWNSHIP SCHOOL DISTRICT,New Jersey,Hardyston Township School District,3406780,NJ-372030
HARMONY TOWNSHIP SCHOOL DISTRICT,New Jersey,HARMONY TOWNSHIP SCHOOL DISTRICT,3406810,NJ-412040
HARRINGTON PARK SCHOOL DISTRICT,New Jersey,Harrington Park School District,3406840,NJ-032050
HARRISON PUBLIC SCHOOLS,New Jersey,Harrison Public Schools,3406870,NJ-172060
HARRISON TOWNSHIP SCHOOL DISTRICT,New Jersey,HARRISON TOWNSHIP SCHOOL DISTRICT,3406900,NJ-152070
HASBROUCK HEIGHTS SCHOOL DISTRICT,New Jersey,Hasbrouck Heights School District,3406930,NJ-032080
HATIKVAH INTERNATIONAL ACADEMY CHARTER SCHOOL,New Jersey,Hatikvah International Academy Charter School,3400735,NJ-806041
HAWORTH PUBLIC SCHOOL DISTRICT,New Jersey,HAWORTH PUBLIC SCHOOL DISTRICT,3406960,NJ-032090
HAWTHORNE PUBLIC SCHOOL DISTRICT,New Jersey,Hawthorne Public School District,3406990,NJ-312100
HAZLET TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Hazlet Township Public School District,3413680,NJ-252105
HENRY HUDSON REGIONAL SCHOOL DISTRICT,New Jersey,Henry Hudson Regional School District,3407050,NJ-252120
HIGH BRIDGE BOROUGH SCHOOL DISTRICT,New Jersey,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,3407110,NJ-192140
HIGH POINT REGIONAL HIGH SCHOOL DISTRICT,New Jersey,HIGH POINT REGIONAL HIGH SCHOOL DISTRICT,3407140,NJ-372165
HIGHLAND PARK BORO SCHOOL DISTRICT,New Jersey,Highland Park Boro School District,3407170,NJ-232150
HIGHLANDS BOROUGH SCHOOL DISTRICT,New Jersey,Highlands Borough School District,3407200,NJ-252160
HILLSBOROUGH TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Hillsborough Township Public School District,3407230,NJ-352170
HILLSDALE SCHOOL DISTRICT,New Jersey,HILLSDALE SCHOOL DISTRICT,3407260,NJ-032180
HILLSIDE PUBLIC SCHOOL DISTRICT,New Jersey,Hillside Board of Education,3407290,NJ-392190
HO-HO-KUS SCHOOL DISTRICT,New Jersey,Ho-Ho-Kus School District,3407320,NJ-032200
HOBOKEN CHARTER SCHOOL,New Jersey,Hoboken Charter School,3400032,NJ-806720
HOBOKEN DUAL LANGUAGE CHARTER SCHOOL,New Jersey,Hoboken Dual Language Charter School,3400734,NJ-806036
HOBOKEN PUBLIC SCHOOL DISTRICT,New Jersey,Hoboken Public School District,3407350,NJ-172210
HOLLAND TOWNSHIP SCHOOL DISTRICT,New Jersey,Holland Township School District,3407380,NJ-192220
HOLMDEL TOWNSHIP SCHOOL DISTRICT,New Jersey,Holmdel Township School District,3407410,NJ-252230
HOPATCONG BOROUGH SCHOOL DISTRICT,New Jersey,Hopatcong Borough School District,3407440,NJ-372240
HOPE ACADEMY CHARTER SCHOOL,New Jersey,Hope Academy Charter School,3400076,NJ-806740
HOPE COMMUNITY CHARTER SCHOOL,New Jersey,Hope Community Charter School,3400763,NJ-806086
HOPE TOWNSHIP SCHOOL DISTRICT,New Jersey,Hope Township School District,3407470,NJ-412250
HOPEWELL TOWNSHIP SCHOOL DISTRICT,New Jersey,Hopewell Township School District,3407500,NJ-112270
HOPEWELL VALLEY REGIONAL SCHOOL DISTRICT,New Jersey,Hopewell Valley Regional School District,3407530,NJ-212280
HOWELL TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,HOWELL TOWNSHIP PUBLIC SCHOOL DISTRICT,3407560,NJ-252290
HUDSON ARTS AND SCIENCE CHARTER SCHOOL,NEW JERSEY,Hudson Arts and Science Charter School,3400787,NJ-806105
HUDSON COUNTY SCHOOLS OF TECHNOLOGY SCHOOL DISTRICT,New Jersey,Hudson County Schools of Technology School District,3407570,NJ-172295
HUNTERDON CENTRAL REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Hunterdon Central Regional High School District,3407590,NJ-192300
HUNTERDON COUNTY EDUCATIONAL SERVICES COMMISSION,New Jersey,Hunterdon County Educational Services Commission,3480360,NJ-192305
HUNTERDON COUNTY VOCATIONAL SCHOOL DISTRICT,New Jersey,Hunterdon County Vocational School District,3400050,NJ-192308
INTERNATIONAL ACADEMY OF TRENTON CHARTER SCHOOL,NEW JERSEY,International Academy of Trenton Charter School,3400775,NJ-806182
INTERNATIONAL CHARTER SCHOOL OF TRENTON,New Jersey,International Charter School,3400041,NJ-806810
IRVINGTON PUBLIC SCHOOL DISTRICT,New Jersey,IRVINGTON PUBLIC SCHOOLS DISTRICT,3407680,NJ-132330
ISLAND HEIGHTS SCHOOL DISTRICT,New Jersey,Island Heights School District,3407710,NJ-292350
JACKSON TOWNSHIP SCHOOL DISTRICT,New Jersey,Jackson Township School District,3407740,NJ-292360
JAMESBURG PUBLIC SCHOOL DISTRICT,New Jersey,Jamesburg Public School District,3407770,NJ-232370
JEFFERSON TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Jefferson Township Public School District,3407800,NJ-272380
JERSEY CITY COMMUNITY CHARTER SCHOOL,New Jersey,Jersey City Community Charter School,3400033,NJ-806910
JERSEY CITY GLOBAL CHARTER SCHOOL,New Jersey,Jersey City Global Charter School,3400767,NJ-806093
JERSEY CITY GOLDEN DOOR CHARTER SCHOOL,New Jersey,Jersey City Golden Door Charter School,3400034,NJ-806915
JERSEY CITY PUBLIC SCHOOLS,New Jersey,Jersey City School District,3407830,NJ-172390
JOHN P HOLLAND CHARTER SCHOOL,New Jersey,John P Holland Charter School,3400748,NJ-806079
KEANSBURG SCHOOL DISTRICT,New Jersey,Keansburg School District,3407860,NJ-252400
KEARNY,New Jersey,Kearny,3407890,NJ-172410
KENILWORTH SCHOOL DISTRICT,New Jersey,KENILWORTH SCHOOL DISTRICT,3407920,NJ-392420
KEYPORT SCHOOL DISTRICT,New Jersey,Keyport School District,3407950,NJ-252430
KINGSWAY REGIONAL SCHOOL DISTRICT,New Jersey,Kingsway Regional School District,3407980,NJ-152440
KINGWOOD TOWNSHIP SCHOOL DISTRICT,New Jersey,KINGWOOD TOWNSHIP SCHOOL DISTRICT,3408010,NJ-192450
KINNELON SCHOOL DISTRICT,New Jersey,Kinnelon School District,3408040,NJ-272460
KIPP: COOPER NORCROSS A NEW JERSEY NONPROFIT CORPORATION,NEW JERSEY,KIPP: Cooper Norcross A New Jersey Nonprofit Corporation,3400777,NJ-071799
KITTATINNY REGIONAL SCHOOL DISTRICT,New Jersey,Kittatinny Regional School District,3408060,NJ-372465
KNOWLTON TOWNSHIP SCHOOL DISTRICT,New Jersey,KNOWLTON TOWNSHIP SCHOOL DISTRICT,3408070,NJ-412470
LACEY TOWNSHIP SCHOOL DISTRICT,New Jersey,Lacey Township School District,3408100,NJ-292480
LADY LIBERTY ACADEMY CHARTER SCHOOL,New Jersey,Lady Liberty Academy Charter School,3400077,NJ-807100
LAFAYETTE TOWNSHIP SCHOOL DISTRICT,New Jersey,LAFAYETTE TOWNSHIP SCHOOL DISTRICT,3408130,NJ-372490
LAKEHURST SCHOOL DISTRICT,New Jersey,Lakehurst School District,3408160,NJ-292500
LAKELAND REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Lakeland Regional High School District,3408190,NJ-312510
LAKEWOOD TOWNSHIP SCHOOL DISTRICT,New Jersey,Lakewood Township School District,3408220,NJ-292520
LAUREL SPRINGS SCHOOL DISTRICT,New Jersey,LAUREL SPRINGS SCHOOL DISTRICT,3408280,NJ-072540
LAVALLETTE BOROUGH SCHOOL DISTRICT,New Jersey,Lavallette Borough School District,3408310,NJ-292550
LAWNSIDE SCHOOL DISTRIC,New Jersey,Lawnside School Distric,3408340,NJ-072560
LAWRENCE TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Lawrence Township Public School District,3408400,NJ-212580
LAWRENCE TOWNSHIP SCHOOL DISTRICT,New Jersey,Lawrence Township School District,3408370,NJ-112570
LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,New Jersey,LEAP Academy University Charter School,3400078,NJ-807109
LEBANON BOROUGH SCHOOL DISTRICT,New Jersey,Lebanon Borough School District,3408430,NJ-192590
LEBANON TOWNSHIP SCHOOL DISTRICT,New Jersey,Lebanon Township School District,3408460,NJ-192600
LENAPE REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Lenape Regional High School District,3408490,NJ-052610
LENAPE VALLEY REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Lenape Valley Regional High School District,3408500,NJ-372615
LEONIA PUBLIC SCHOOL DISTRICT,New Jersey,Leonia Public School District,3408520,NJ-032620
LINCOLN PARK SCHOOL DISTRICT,New Jersey,Lincoln Park School District,3408580,NJ-272650
LINDEN PUBLIC SCHOOL DISTRICT,New Jersey,Linden Public School District,3408610,NJ-392660
LINDENWOLD PUBLIC SCHOOL DISTRICT,New Jersey,Lindenwold Public School District,3408640,NJ-072670
LINK COMMUNITY CHARTER SCHOOL,NEW JERSEY,Link Community Charter School,3400773,NJ-806099
LINWOOD CITY SCHOOL DISTRICT,New Jersey,Linwood City School District,3408670,NJ-012680
LITTLE EGG HARBOR TOWNSHIP SCHOOL DISTRICT,New Jersey,Little Egg Harbor Township School District,3408700,NJ-292690
LITTLE FALLS TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Little Falls Township Public School District,3408730,NJ-312700
LITTLE FERRY PUBLIC SCHOOL DISTRICT,New Jersey,Little Ferry Public School District,3408760,NJ-032710
LITTLE SILVER BORO SCHOOL DISTRICT,New Jersey,LITTLE SILVER BORO SCHOOL DISTRICT,3408790,NJ-252720
LIVINGSTON BOARD OF EDUCATION SCHOOL DISTRICT,New Jersey,Livingston Board of Education School District,3408820,NJ-132730
LODI SCHOOL DISTRICT,New Jersey,Lodi School District,3408850,NJ-032740
LOGAN TOWNSHIP SCHOOL DISTRICT,New Jersey,Logan Township School District,3408880,NJ-152750
LONG BEACH ISLAND CONSOLIDATED SCHOOL DISTRICT,New Jersey,Long Beach Island Consolidated School District,3408910,NJ-292760
LONG BRANCH PUBLIC SCHOOL DISTRICT,New Jersey,LONG BRANCH PUBLIC SCHOOL District,3408940,NJ-252770
LONG HILL TOWNSHIP SCHOOL DISTRICT,New Jersey,Long Hill Township School District,3412660,NJ-274000
LOPATCONG TOWNSHIP SCHOOL DISTRICT,New Jersey,Lopatcong Township School District,3409000,NJ-412790
LOWER CAPE MAY REGIONAL SCHOOL DISTRICT,New Jersey,Lower Cape May Regional School District,3409090,NJ-092820
LOWER TOWNSHIP ELEMENTARY SCHOOL DISTRICT,New Jersey,Lower Township Elementary School District,3409150,NJ-092840
LUMBERTON TOWNSHIP BOARD OF EDUCATION,New Jersey,Lumberton Township Board of Education,3409180,NJ-052850
LYNDHURST SCHOOL DISTRICT,New Jersey,Lyndhurst School District,3409210,NJ-032860
M.E.T.S. CHARTER SCHOOL,New Jersey,M.E.T.S. CHARTER SCHOOL,3400753,NJ-806068
MADISON PUBLIC SCHOOL DISTRICT,New Jersey,Madison Public School District,3409240,NJ-272870
MAGNOLIA SCHOOL DISTRICT,New Jersey,Magnolia School District,3409300,NJ-072890
MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Mahwah Township Public School District,3409330,NJ-032900
MAINLAND REGIONAL HIGH SCHOOL,New Jersey,MAINLAND REGIONAL HIGH SCHOOL DISTRICT,3409360,NJ-012910
MANALAPAN-ENGLISHTOWN REGIONAL SCHOOLS SCHOOL DISTRICT,New Jersey,Manalapan-Englishtown Regional Schools School District,3409390,NJ-252920
MANASQUAN SCHOOL DISTRICT,New Jersey,Manasquan School District,3409420,NJ-252930
MANCHESTER TOWNSHIP SCHOOL DISTRICT,New Jersey,Manchester Township School District,3409450,NJ-292940
MANNINGTON TOWNSHIP SCHOOL DISTRICT,New Jersey,Mannington Township School District,3409480,NJ-332950
MANSFIELD TOWNSHIP ELEMENTARY SCHOOL DISTRICT,New Jersey,Mansfield Township Elementary School District,3409540,NJ-412970
MANSFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,Mansfield Township School District,3409510,NJ-052960
MANTUA TOWNSHIP SCHOOL DISTRICT,New Jersey,Mantua Township School District,3409600,NJ-152990
MANVILLE SCHOOL DISTRICT,New Jersey,Manville Board of Education,3409630,NJ-353000
MAPLE SHADE SCHOOL DISTRICT,New Jersey,Maple Shade School District,3409660,NJ-053010
MARGATE CITY SCHOOL DISTRICT,New Jersey,Margate City School District,3409690,NJ-013020
MARIA L. VARISCO-ROGERS CHARTER SCHOOL,New Jersey,Maria Varisco Rogers Charter School,3400026,NJ-807735
MARIE H. KATZENBACH SCHOOL FOR THE DEAF,NEW JERSEY,Marie H. Katzenbach School for the Deaf,3400778,NJ-211431
MARION P. THOMAS CHARTER SCHOOL,New Jersey,Marion P. Thomas Charter School,3400022,NJ-807210
MARLBORO TOWNSHIP SCHOOL DISTRICT,New Jersey,MARLBORO TOWNSHIP SCHOOL DISTRICT,3409720,NJ-253030
MASTERY SCHOOLS OF CAMDEN INC.,NEW JERSEY,Mastery Schools of Camden Inc.,3400772,NJ-071802
MATAWAN-ABERDEEN REGIONAL SCHOOL DISTRICT,New Jersey,Matawan-Aberdeen Regional School District,3409750,NJ-253040
MAURICE RIVER TOWNSHIP SCHOOL DISTRICT,New Jersey,MAURICE RIVER TOWNSHIP SCHOOL DISTRICT,3409780,NJ-113050
MAYWOOD SCHOOL DISTRICT,New Jersey,MAYWOOD SCHOOL DISTRICT,3409810,NJ-033060
MEDFORD LAKES SCHOOL DISTRICT,New Jersey,Medford Lakes School District,3409840,NJ-053070
MEDFORD TOWNSHIP SCHOOL DISTRICT,New Jersey,Medford Township School District,3409870,NJ-053080
MENDHAM BOROUGH SCHOOL DISTRICT,New Jersey,MENDHAM BOROUGH SCHOOL DISTRICT,3409900,NJ-273090
MENDHAM TOWNSHIP SCHOOL DISTRICT,New Jersey,Mendham Township School District,3409930,NJ-273100
MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,Mercer County Special Services School District,3480200,NJ-213103
MERCHANTVILLE SCHOOL DISTRICT,New Jersey,Merchantville School District,3409960,NJ-073110
MERIT PREPARATORY CHARTER SCHOOL OF NEWARK,New Jersey,Merit Preparatory Charter School of Newark,3400760,NJ-806091
METUCHEN PUBLIC SCHOOL DISTRICT,New Jersey,Metuchen Public School District,3409990,NJ-233120
MIDDLE TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Middle Township Public School District,3410020,NJ-093130
MIDDLESEX BOROUGH SCHOOL DISTRICT,New Jersey,Middlesex Borough School District,3410050,NJ-233140
MIDDLESEX COUNTY VOCATIONAL AND TECHNICAL SCHOOL DISTRICT,New Jersey,Middlesex County Vocational and Technical School District,3410080,NJ-233150
MIDDLETOWN TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,MIDDLETOWN TOWNSHIP PUBLIC SCHOOL DISTRICT,3410110,NJ-253160
MIDLAND PARK SCHOOL DISTRICT,New Jersey,Midland Park School District,3410140,NJ-033170
MILFORD BOROUGH SCHOOL DISTRICT,New Jersey,Milford Borough School District,3410170,NJ-193180
MILLBURN TOWNSHIP SCHOOL DISTRICT,New Jersey,Millburn Township School District,3410200,NJ-133190
MILLSTONE TOWNSHIP SCHOOL DISTRICT,New Jersey,Millstone Township School District,3410230,NJ-253200
MILLTOWN SCHOOL DISTRICT,New Jersey,Milltown School District,3410290,NJ-233220
MILLVILLE PUBLIC CHARTER SCHOOL,New Jersey,Millville Public Charter School,3400749,NJ-806069
MILLVILLE SCHOOL DISTRICT,New Jersey,MILLVILLE  SCHOOL DISTRICT,3410320,NJ-113230
MINE HILL TOWNSHIP SCHOOL DISTRICT,New Jersey,Mine Hill Township School District,3410350,NJ-273240
MONMOUTH BEACH SCHOOL DISTRICT,New Jersey,MONMOUTH BEACH ELEMENTARY SCHOOL DISTRICT,3410380,NJ-253250
MONMOUTH COUNTY VOCATIONAL SCHOOL DISTRICT,New Jersey,Monmouth County Vocational School District,3417500,NJ-253260
MONMOUTH REGIONAL HIGH SCHOOL,New Jersey,MONMOUTH REGIONAL HIGH SCHOOL DISTRICT,3410440,NJ-253270
MONMOUTH-OCEAN EDUCATIONAL SERVICES COMMISSION SCHOOL DISTRI,New Jersey,Monmouth-Ocean Educational Services Commission,3480240,NJ-253255
MONROE TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,MONROE TOWNSHIP PUBLIC SCHOOL DISTRICT,3410470,NJ-153280
MONROE TOWNSHIP SCHOOL DISTRICT,New Jersey,Monroe Township School District,3410500,NJ-233290
MONTAGUE TOWNSHIP SCHOOL DISTRICT,New Jersey,MONTAGUE TOWNSHIP SCHOOL DISTRICT,3410530,NJ-373300
MONTCLAIR PUBLIC SCHOOL DISTRICT,New Jersey,Montclair Public Schools,3410560,NJ-133310
MONTGOMERY TOWNSHIP SCHOOL DISTRICT,New Jersey,Montgomery Township School District,3410590,NJ-353320
MONTVALE BOARD OF EDUCATION SCHOOL DISTRICT,New Jersey,Montvale Board of Education School District,3410620,NJ-033330
MONTVILLE TOWNSHIP SCHOOL DISTRICT,New Jersey,Montville Township School District,3410650,NJ-273340
MOONACHIE SCHOOL DISTRICT,New Jersey,Moonachie School District,3410680,NJ-033350
MOORESTOWN TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Moorestown Township Public School District,3410710,NJ-053360
MORRIS COUNTY VOCATIONAL SCHOOL DISTRICT,New Jersey,Morris County Vocational School District,3410720,NJ-273365
MORRIS HILLS REGIONAL SCHOOL DISTRICT,New Jersey,Morris Hills Regional School District,3410740,NJ-273370
MORRIS PLAINS SCHOOL DISTRICT,New Jersey,MORRIS PLAINS SCHOOL DISTRICT,3410770,NJ-273380
MORRIS SCHOOL DISTRICT,New Jersey,MORRIS SCHOOL DISTRICT,3410810,NJ-273385
MORRIS-UNION JOINTURE COMMISSON SCHOOL DISTRICT,New Jersey,Morris-Union Jointure Commisson School District,3400005,NJ-393395
MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,New Jersey,Mount Arlington Public School District,3410860,NJ-273410
MOUNT HOLLY TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,Mount Holly Township Public School District,3410920,NJ-053430
MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,New Jersey,Mount Laurel Township School District,3410950,NJ-053440
MOUNT OLIVE TOWNSHIP SCHOOL DISTRICT,New Jersey,Mount Olive Township School District,3410980,NJ-273450
MOUNTAIN LAKES PUBLIC SCHOOL DISTRICT,New Jersey,Mountain Lakes Public School District,3411010,NJ-273460
MOUNTAINSIDE SCHOOL DISTRICT,New Jersey,MOUNTAINSIDE SCHOOL DISTRICT,3411040,NJ-393470
MT. EPHRAIM SCHOOL DISTRICT,New Jersey,MT. EPHRAIM SCHOOL DISTRICT,3410890,NJ-073420
MULLICA TOWNSHIP SCHOOL DISTRICT,New Jersey,Mullica Township School District,3411070,NJ-013480
NATIONAL PARK BORO SCHOOL DISTRICT,New Jersey,National Park Boro School District,3411100,NJ-153490
NEPTUNE CITY SCHOOL DISTRICT,New Jersey,NEPTUNE CITY SCHOOL DISTRICT,3411130,NJ-253500
NEPTUNE TOWNSHIP SCHOOL DISTRICT,New Jersey,NEPTUNE TOWNSHIP SCHOOL DISTRICT,3411160,NJ-253510
NETCONG SCHOOL DISTRICT,New Jersey,Netcong School District,3411190,NJ-273520
NEW BRUNSWICK SCHOOL DISTRICT,New Jersey,New Brunswick School District,3411220,NJ-233530
NEW HANOVER TOWNSHIP,New Jersey,New Hanover Township,3411250,NJ-053540
NEW HORIZONS COMMUNITY CHARTER SCHOOL,New Jersey,New Horizons Community Charter School,3400023,NJ-807290
NEW MILFORD PUBLIC SCHOOL DISTRICT,New Jersey,New Milford Public School District,3411280,NJ-033550
NEW PROVIDENCE SCHOOL DISTRICT,New Jersey,New Providence Board of Education,3411310,NJ-393560
NEWARK EDUCATORS COMMUNITY CHARTER SCHOOL,New Jersey,Newark Educators Community Charter School,3400730,NJ-806029
NEWARK PREP CHARTER SCHOOL,New Jersey,Newark Prep Charter School,3400758,NJ-806059
NEWARK PUBLIC SCHOOL DISTRICT,New Jersey,NEWARK PUBLIC SCHOOL DISTRICT,3411340,NJ-133570
NEWTON PUBLIC SCHOOL DISTRICT,New Jersey,NEWTON PUBLIC SCHOOL DISTRICT,3411400,NJ-373590
NORTH ARLINGTON SCHOOL DISTRICT,New Jersey,North Arlington School District,3411430,NJ-033600
NORTH BERGEN SCHOOL DISTRICT,New Jersey,NORTH BERGEN SCHOOL DISTRICT,3411460,NJ-173610
NORTH BRUNSWICK TOWNSHIP SCHOOL DISTRICT,New Jersey,North Brunswick Township School District,3411490,NJ-233620
NORTH CALDWELL SCHOOL DISTRICT,New Jersey,NORTH CALDWELL SCHOOL DISTRICT,3411520,NJ-133630
NORTH HALEDON SCHOOL DISTRICT,New Jersey,North Haledon School District,3411550,NJ-313640
NORTH HANOVER TOWNSHIP SCHOOL DISTRICT,New Jersey,North Hanover Township School District,3411580,NJ-053650
NORTH HUNTERDON-VOORHEES REGIONAL HIGH SCHOOL DISTRICT,New Jersey,North Hunterdon-Voorhees Regional High School District,3411610,NJ-193660
NORTH PLAINFIELD SCHOOL DISTRICT,New Jersey,NORTH PLAINFIELD SCHOOL DISTRICT,3411640,NJ-353670
NORTH STAR ACADEMY CHARTER SCHOOL,New Jersey,North Star Academy Charter School,3400024,NJ-807320
NORTH WARREN REGIONAL SCHOOL DISTRICT,New Jersey,North Warren Regional School District,3409550,NJ-413675
NORTH WILDWOOD SCHOOL DISTRICT,New Jersey,NORTH WILDWOOD SCHOOL DISTRICT,3411670,NJ-093680
NORTHERN BURLINGTON COUNTY REGIONAL SCHOOL DISTRICT,New Jersey,Northern Burlington County Regional School District,3411700,NJ-053690
NORTHERN HIGHLANDS REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Northern Highlands Regional High School District,3411730,NJ-033700
NORTHERN HILLS ACADEMY SCHOOL DISTRICT,New Jersey,SUSSEX COUNTY EDUCATIONAL SERVICES COMMISSION SCHOOL DISTRIC,3480320,NJ-375105
NORTHERN REGION EDUCATIONAL SERVICES COMMISSION,New Jersey,Passaic County Educational Services Commission,3480364,NJ-313975
NORTHERN VALLEY REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Northern Valley Regional High School District,3411760,NJ-033710
NORTHFIELD CITY SCHOOL DISTRICT,New Jersey,Northfield City School District,3411790,NJ-013720
NORTHVALE PUBLIC SCHOOL DISTRICT,New Jersey,NORTHVALE PUBLIC SCHOOL DISTRICT,3411820,NJ-033730
NORWOOD PUBLIC SCHOOL DISTRICT,New Jersey,Norwood Public School District,3411850,NJ-033740
NUTLEY PUBLIC SCHOOL DISTRICT,New Jersey,NUTLEY PUBLIC SCHOOL DISTRICT,3411880,NJ-133750
OAKLAND PUBLIC SCHOOL DISTRICT,New Jersey,Oakland Public School District,3411910,NJ-033760
OAKLYN PUBLIC SCHOOL DISTRICT,New Jersey,Oaklyn Public School District,3411940,NJ-073770
OCEAN CITY SCHOOL DISTRICT,New Jersey,Ocean City School District,3411970,NJ-093780
OCEAN COUNTY VOCATIONAL TECHNICAL SCHOOL DISTRICT,New Jersey,Ocean County Vocational Technical School School District,3411980,NJ-293790
OCEAN GATE SCHOOL DISTRICT,New Jersey,Ocean Gate School District,3412030,NJ-293800
OCEAN TOWNSHIP SCHOOL DISTRICT,New Jersey,Ocean Township School District,3412090,NJ-293820
OCEANPORT SCHOOL DISTRICT,New Jersey,Oceanport School District,3412120,NJ-253830
OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,New Jersey,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,3400085,NJ-218501
OFFICE OF EDUCATION JUVENILE JUSTICE COMMISSION,New Jersey,OFFICE OF EDUCATION JUVENILE JUSTICE COMMISSION,3400089,NJ-218503
OFFICE OF EDUCATIONAL SERVICES DEPARTMENT OF CORRECTIONS,New Jersey,OFFICE OF EDUCATIONAL SERVICES DEPARTMENT OF CORRECTIONS,3400088,NJ-218502
OGDENSBURG BOROUGH SCHOOL DISTRICT,New Jersey,Ogdensburg Borough School District,3412150,NJ-373840
OLD BRIDGE TOWNSHIP SCHOOL DISTRICT,New Jersey,Old Bridge Township School District,3409270,NJ-233845
OLD TAPPAN PUBLIC SCHOOL DISTRICT,New Jersey,OLD TAPPAN PUBLIC SCHOOL DISTRICT,3412180,NJ-033850
OLDMANS TOWNSHIP SCHOOL DISTRICT,New Jersey,OLDMANS TOWNSHIP SCHOOL DISTRICT,3412210,NJ-333860
ORADELL PUBLIC SCHOOL DISTRICT,New Jersey,ORADELL SCHOOL DISTRICT,3412240,NJ-033870
ORANGE BOARD OF EDUCATION SCHOOL DISTRICT,New Jersey,ORANGE BOARD OF EDUCATION SCHOOL DISTRICT,3412270,NJ-133880
OXFORD TOWNSHIP SCHOOL DISTRICT,New Jersey,Oxford Township School District,3412300,NJ-413890
PACE CHARTER SCHOOL OF HAMILTON,New Jersey,Pace Charter School of Hamilton,3400042,NJ-807500
PALISADES PARK SCHOOL DISTRICT,New Jersey,Palisades Park School District,3412360,NJ-033910
PALMYRA PUBLIC SCHOOL DISTRICT,New Jersey,Palmyra Public School District,3412390,NJ-053920
PARAMUS PUBLIC SCHOOL DISTRICT,New Jersey,Paramus Public School District,3412420,NJ-033930
PARK RIDGE SCHOOL DISTRICT,New Jersey,Park Ridge School District,3412450,NJ-033940
PARSIPPANY-TROY HILLS TOWNSHIP SCHOOL DISTRICT,New Jersey,Parsippany-Troy Hills Township School District,3412480,NJ-273950
PASCACK VALLEY REGIONAL HIGH SCHOOL DISTRICT,New Jersey,PASCACK VALLEY REGIONAL HIGH SCHOOL DISTRICT,3412510,NJ-033960
PASSAIC ARTS AND SCIENCE CHARTER SCHOOL,New Jersey,Passaic Arts and Science Charter School,3400745,NJ-806080
PASSAIC CITY SCHOOL DISTRICT,New Jersey,Passaic City School District,3412540,NJ-313970
PASSAIC COUNTY MANCHESTER REGIONAL HIGH SCHOOL DISTRICT,New Jersey,Passaic County Manchester Regional High School District,3412600,NJ-313980
PASSAIC COUNTY VOCATIONAL SCHOOL DISTRICT,New Jersey,Passsaic County Vocational School District,3412630,NJ-313995
PASSAIC VALLEY REGIONAL HIGH SCHOOL DISTRICT #1,New Jersey,Passaic Valley Regional High School District #1,3412570,NJ-313990
PATERSON ARTS AND SCIENCE CHARTER SCHOOL,New Jersey,Paterson Arts and Science Charter School,3400765,NJ-806096
PATERSON CHARTER SCHOOL FOR SCIENCE AND TECHNOLOGY,New Jersey,Paterson Charter School for Science and Technology,3400087,NJ-807503
PATERSON PUBLIC SCHOOL DISTRICT,New Jersey,Paterson Public School District,3412690,NJ-314010
PAUL ROBESON CHARTER SCHOOL FOR THE HUMANITIES,New Jersey,Paul Robeson Charter School for the Humanities,3400723,NJ-806025
PAULO FREIRE CHARTER SCHOOL,New Jersey,Paulo Freire Charter School,3400757,NJ-806090
PAULSBORO SCHOOL DISTRICT,New Jersey,PAULSBORO SCHOOL DISTRICT,3412720,NJ-154020
PEMBERTON TOWNSHIP SCHOOL DISTRICT,New Jersey,Pemberton Township School District,3412810,NJ-054050
